,0,a,b,c
0,2.586870306799919,2.586870306799919,2.586870306799919,2.586870306799919
1,1.9995532437247023,2.2932117752623107,2.440041041031115,2.1463825094935065
2,2.539616811511359,2.3753467873453267,2.563243559155639,2.2695850276180307
3,2.59332029528485,2.4298401643302077,2.588482803921152,2.404600919564695
4,1.8076282575351144,2.305397782971189,2.586870306799919,1.9995532437247023
5,2.5957267395273034,2.353785942397208,2.5917077981636174,2.1345691356713665
6,2.4846279089842334,2.3724776519096404,2.5900953010423846,2.242090576354468
7,2.4809416556468493,2.3860356523767914,2.588482803921152,2.3605945526663126
8,2.591007627935694,2.4088103163277808,2.591007627935694,2.4809416556468493
9,2.5890127315694214,2.4268305578519445,2.5905089038441256,2.4818632189811956
